BAGÀ;2
BAILEN;6
BAIONA;6
BAIX PALLARS;1
BAKIO;2
BALAGUER;6
BALAZOTE;3
BALEIRA;2
BALENYÀ;2
BALLESTERO (EL);1
BALLESTEROS DE CALATRAVA;1
BALLOBAR;2
BALMASEDA;4
BALSARENY;1
BALTANAS;3
BANDE;1
BANYALBUFAR;1
BANYERES DE MARIOLA;6
BANYERES DEL PENEDÈS;1
BANYOLES;6
BARAJAS DE MELO;1
BARAKALDO;31
BARALLA;1
BARASOAIN;2
BARAÑAIN/BARAÑAIN;6
BARBADAS;2
BARBASTRO;9
BARBATE;6
BARBENS;1
BARBERÀ DE LA CONCA;1
BARBERÀ DEL VALLÈS;8
BARCARROTA;3
BARCELONA;532
BARCENA DE CICERO;1
BARCO DE AVILA (EL);4
BARCO DE VALDEORRAS (O);5
BARDALLUR;1
BARGAS;4
BARGOTA;1
BARLOVENTO;2
BARRACHINA;1
BARRACO (EL);2
BARRAX;2
BARREIROS;2
BARRIOS (LOS);7
BARRO;1
BARX;1
BASAURI;16
BATEA;2
BAZA;6
BAZTAN;6
BAÑARES;1
BAÑEZA (LA);9
BAÑOS DE EBRO/MAÑUETA;1
BAÑOS DE LA ENCINA;1
BAÑOS DE MOLGAS;1
BAÑOS DE MONTEMAYOR;1
BAÑOS DE RIO TOBIA;2
BEARIZ;1
BEAS;2
BEAS DE GRANADA;1
BEAS DE SEGURA;2
BEASAIN;8
BECEDAS;1
BECEITE;2
BECERREA;4
BECERRIL DE LA SIERRA;1
BEDAR;1
BEDMAR Y GARCIEZ;3
BEGIJAR;3
BEGONTE;2
BEGUES;2
BEGUR;2
BEJAR;6
BELALCAZAR;2
BELCHITE;3
BELIANES;1
BELL-LLOC D'URGELL;1
BELLCAIRE D'URGELL;1
BELLO;2
BELLPUIG;4
BELLREGUARD;2
BELLVEI;1
BELLVER DE CERDANYA;1
BELLVIS;1
BELMEZ;1
BELMEZ DE LA MORALEDA;2
BELMONTE;3
BELMONTE DE MIRANDA;1
BELMONTE DE TAJO;2
BELORADO;3
BELVER DE CINCA;2
BELVIS DE LA JARA;1
BEMBIBRE;5
BENABARRE;2
BENACAZON;2
BENAGUASIL;3
BENAHADUX;2
BENAHAVIS;3
BENALMADENA;20
BENALUA;2
BENALUA DE LAS VILLAS;2
BENALUP-CASAS VIEJAS;1
BENAMARGOSA;1
BENAMAUREL;2
BENAMEJI;4
BENAMOCARRA;1
BENAOCAZ;1
BENAOJAN;1
BENASQUE;3
BENASSAL;2
