445,"Fresno, El",603
446,Fuente el Saúz,152
447,Fuentes de Año,88
448,Gallegos de Altamiros,59
449,Gallegos de Sobrinos,44
450,Garganta del Villar,39
451,Gavilanes,529
452,Gemuño,145
453,Gilbuena,47
454,Gil García,48
455,Gimialcón,76
456,Gotarrendura,166
457,Grandes y San Martín,35
458,Guisando,478
459,Gutierre-Muñoz,65
460,Hernansancho,142
461,Herradón de Pinares,523
462,Herreros de Suso,148
463,Higuera de las Dueñas,269
464,"Hija de Dios, La",77
465,"Horcajada, La",454
466,Horcajo de las Torres,438
467,"Hornillo, El",280
468,Hoyocasero,310
469,"Hoyo de Pinares, El",2184
470,Hoyorredondo,61
471,Hoyos del Collado,29
472,Hoyos del Espino,358
473,Hoyos de Miguel Muñoz,26
474,Hurtumpascual,44
475,Junciana,40
476,Langa,459
477,Lanzahíta,824
478,"Losar del Barco, El",104
479,"Llanos de Tormes, Los",63
480,Madrigal de las Altas Torres,1301
481,Maello,704
482,Malpartida de Corneja,90
483,Mamblas,196
484,Mancera de Arriba,71
485,Manjabálago y Ortigosa de Rioalmar,23
486,Marlín,30
487,Martiherrero,360
488,Martínez,109
489,Mediana de Voltoya,117
490,Medinilla,78
491,Mengamuñoz,54
492,Mesegar de Corneja,67
493,Mijares,730
494,Mingorría,407
495,"Mirón, El",98
496,Mironcillo,113
497,Mirueña de los Infanzones,95
498,Mombeltrán,916
499,Monsalupe,59
500,Moraleja de Matacabras,53
501,Muñana,498
502,Muñico,80
503,Muñogalindo,300
504,Muñogrande,79
505,Muñomer del Peco,111
506,Muñopepe,104
507,Muñosancho,88
508,Muñotello,49
509,Narrillos del Álamo,57
510,Narrillos del Rebollar,34
511,Narros del Castillo,153
512,Narros del Puerto,29
513,Narros de Saldueña,106
514,Navacepedilla de Corneja,99
515,Nava de Arévalo,662
516,Nava del Barco,83
517,Navadijos,28
518,Navaescurial,57
519,Navahondilla,355
520,Navalacruz,210
521,Navalmoral,400
522,Navalonguilla,184
523,Navalosa,322
524,Navalperal de Pinares,824
525,Navalperal de Tormes,77
526,Navaluenga,2177
527,Navaquesera,43
528,Navarredonda de Gredos,454
529,Navarredondilla,160
530,Navarrevisca,301
531,"Navas del Marqués, Las",5593
532,Navatalgordo,238
533,Navatejares,50
534,Neila de San Miguel,62
535,Niharra,190
536,Ojos-Albos,98
537,Orbita,71
538,"Oso, El",129
539,Padiernos,275
540,Pajares de Adaja,137
541,Palacios de Goda,402
542,Papatrigo,221
543,"Parral, El",65
544,Pascualcobo,39
545,Pedro Bernardo,773
546,Pedro-Rodríguez,129
547,Peguerinos,299
548,Peñalba de Ávila,106
549,Piedrahíta,1656
550,Piedralaves,2166
551,Poveda,33
552,Poyales del Hoyo,492
553,Pozanco,59
554,Pradosegar,118
555,Puerto Castilla,98
556,Rasueros,161
557,Riocabado,125
558,Riofrío,191
559,Rivilla de Barajas,56
560,Salobral,106
561,Salvadiós,70
562,San Bartolomé de Béjar,49
563,San Bartolomé de Corneja,35
564,San Bartolomé de Pinares,490
565,Sanchidrián,706
566,Sanchorreja,79
567,San Esteban de los Patos,20
568,San Esteban del Valle,734
569,San Esteban de Zapardiel,40
570,San García de Ingelmos,66
571,San Juan de la Encinilla,70
572,San Juan de la Nava,427
573,San Juan del Molinillo,237
574,San Juan del Olmo,85
575,San Lorenzo de Tormes,30
576,San Martín de la Vega del Alberche,153
577,San Martín del Pimpollar,219
578,San Miguel de Corneja,72
579,San Miguel de Serrezuela,107
580,San Pascual,44
581,San Pedro del Arroyo,501
582,Santa Cruz del Valle,306
583,Santa Cruz de Pinares,173
584,Santa María del Arroyo,102
585,Santa María del Berrocal,380
586,Santa María de los Caballeros,72
587,Santa María del Tiétar,552
588,Santiago del Collado,167
589,Santo Domingo de las Posadas,70
590,Santo Tomé de Zabarcos,76
591,San Vicente de Arévalo,166
592,"Serrada, La",136
593,Serranillos,252
594,Sigeres,45
595,Sinlabajos,137
596,Solana de Ávila,100
597,Solana de Rioalmar,139
598,Solosancho,758
599,Sotalbo,250
600,Sotillo de la Adrada,4967
601,"Tiemblo, El",4548
602,Tiñosillos,759
603,Tolbaños,90
604,Tormellas,35
605,Tornadizos de Ávila,470
606,Tórtoles,38
607,"Torre, La",216
608,Umbrías,100
609,Vadillo de la Sierra,50
610,Valdecasa,56
611,Vega de Santa María,86
612,Velayos,218
613,Villaflor,99
614,Villafranca de la Sierra,135
615,Villanueva de Gómez,116
616,Villanueva del Aceral,92
617,Villanueva del Campillo,101
618,Villar de Corneja,36
619,Villarejo del Valle,314
620,Villatoro,160
621,Viñegra de Moraña,52
622,Vita,76
623,Zapardiel de la Cañada,84
624,Zapardiel de la Ribera,91
625,San Juan de Gredos,226
626,Santa María del Cubillo,320
627,Diego del Carpio,106
628,Santiago del Tormes,109
629,Villanueva de Ávila,227
630,Acedera,805
631,Aceuchal,5408
632,Ahillones,787
633,Alange,1809
634,"Albuera, La",2012
635,Alburquerque,4995
636,Alconchel,1628
637,Alconera,757
638,Aljucén,255
639,Almendral,1200
640,Almendralejo,34237
641,Arroyo de San Serván,4055
642,Atalaya,258
643,Azuaga,7606
644,Badajoz,151146
645,Barcarrota,3479
646,Baterno,238
647,Benquerencia de la Serena,789
648,Berlanga,2219
649,Bienvenida,2018
650,Bodonal de la Sierra,993
651,Burguillos del Cerro,2977
652,Cabeza del Buey,4520
653,Cabeza la Vaca,1260
654,Calamonte,6145
655,Calera de León,917
656,Calzadilla de los Barros,687
657,Campanario,4705
658,Campillo de Llerena,1321
659,Capilla,145
660,Carmonita,523
661,"Carrascalejo, El",77
662,Casas de Don Pedro,1371
663,Casas de Reina,206
664,Castilblanco,843
665,Castuera,5500
666,"Codosera, La",2017
667,Cordobilla de Lácara,829
668,"Coronada, La",2149
669,Corte de Peleas,1187
670,Cristina,548
671,Cheles,1177
672,Don Álvaro,814
673,Don Benito,37771
674,Entrín Bajo,568
675,Esparragalejo,1492
676,Esparragosa de la Serena,932
677,Esparragosa de Lares,855
678,Feria,1045
679,Fregenal de la Sierra,4740
680,Fuenlabrada de los Montes,1707
681,Fuente de Cantos,4592
682,Fuente del Arco,658
683,Fuente del Maestre,6610
684,Fuentes de León,2160
685,Garbayuela,475
686,Garlitos,529
687,"Garrovilla, La",2297
688,Granja de Torrehermosa,1903
689,Guareña,6648
690,"Haba, La",1214
691,Helechosa de los Montes,562
692,Herrera del Duque,3407
693,Higuera de la Serena,888
694,Higuera de Llerena,341
695,Higuera de Vargas,1857
696,Higuera la Real,2206
697,Hinojosa del Valle,489
698,Hornachos,3404
699,Jerez de los Caballeros,9134
700,"Lapa, La",296
701,Lobón,2732
702,Llera,805
703,Llerena,5659
704,Magacela,499
705,Maguilla,933
706,Malcocinado,346
707,Malpartida de la Serena,520
708,Manchita,738
709,Medellín,2237
710,Medina de las Torres,1164
711,Mengabril,490
712,Mérida,59894
713,Mirandilla,1247
714,Monesterio,4233
715,Montemolín,1267
716,Monterrubio de la Serena,2196
717,Montijo,15216
718,"Morera, La",707
719,"Nava de Santiago, La",920
720,Navalvillar de Pela,4341
721,Nogales,640
722,Oliva de la Frontera,4933
723,Oliva de Mérida,1681
724,Olivenza,11736
725,Orellana de la Sierra,261
726,Orellana la Vieja,2585
727,Palomas,661
728,"Parra, La",1286
729,Peñalsordo,825
730,Peraleda del Zaucejo,479
731,Puebla de Alcocer,1107
732,Puebla de la Calzada,5854
733,Puebla de la Reina,698
734,Puebla del Maestre,657
735,Puebla del Prior,461
736,Puebla de Obando,1809
737,Puebla de Sancho Pérez,2638
738,Quintana de la Serena,4460
739,Reina,142
740,Rena,614
741,Retamal de Llerena,430
742,Ribera del Fresno,3200
743,Risco,127
744,"Roca de la Sierra, La",1451
745,Salvaleón,1655
746,Salvatierra de los Barros,1558
747,Sancti-Spíritus,144
748,San Pedro de Mérida,867
749,Santa Amalia,3913
750,Santa Marta,4141
751,"Santos de Maimona, Los",8101
752,San Vicente de Alcántara,5206
753,Segura de León,1791
754,Siruela,1772
755,Solana de los Barros,2550
756,Talarrubias,3252
757,Talavera la Real,5459
758,Táliga,660
759,Tamurejo,199
760,Torre de Miguel Sesmero,1246
761,Torremayor,1003
762,Torremejía,2233
763,Trasierra,591
764,Trujillanos,1390
765,Usagre,1729
766,Valdecaballeros,1046
767,Valdetorres,1137
768,Valencia de las Torres,480
769,Valencia del Mombuey,709
770,Valencia del Ventoso,1889
